Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,3.1,19.666666666666668,2.1272727272727274,9.663636363636364
2000-01-01,1.9416666666666664,13.708333333333336,1.8666666666666671,7.203703703703705
2001-01-01,1.7,10.471428571428572,2.127272727272728,5.99090909090909
2002-01-01,2.025,13.254999999999999,1.8608695652173914,6.291304347826087
2003-01-01,2.655555555555556,10.922222222222222,1.8666666666666671,4.091666666666667
2004-01-01,2.5083333333333333,13.166666666666666,1.8214285714285714,5.378571428571429
2005-01-01,2.3000000000000003,13.26923076923077,1.9076923076923076,4.853846153846154
2006-01-01,2.5636363636363635,14.400000000000004,2.181818181818182,6.763636363636365
2007-01-01,2.5909090909090913,14.945454545454545,2.0090909090909093,5.845454545454545
2008-01-01,2.3899999999999997,14.940000000000001,1.5583333333333333,6.358333333333334
2009-01-01,2.607142857142857,16.050000000000004,1.9249999999999998,5.8500000000000005
2010-01-01,2.9000000000000004,15.559999999999999,1.56,6.63
2011-01-01,2.8666666666666667,14.983333333333334,1.9454545454545453,5.845454545454545
2012-01-01,1.5333333333333334,12.549999999999999,2.4200000000000004,4.860000000000001
2013-01-01,2.1076923076923078,12.492307692307692,1.575,4.331250000000001
2014-01-01,1.6999999999999997,11.285714285714283,1.3285714285714285,3.728571428571428
2015-01-01,2.0833333333333335,11.108333333333334,1.1666666666666665,3.383333333333333
