Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,16.32,16.96,3.09,4.4399999999999995
2000-01-01,13.941666666666665,14.079166666666666,3.1222222222222227,3.55925925925926
2001-01-01,11.814285714285713,11.957142857142856,2.272727272727273,2.8636363636363633
2002-01-01,11.620000000000001,12.655000000000001,2.365217391304348,2.5695652173913044
2003-01-01,8.577777777777778,9.533333333333335,1.5416666666666663,1.9833333333333334
2004-01-01,8.775,9.991666666666665,1.7214285714285715,2.042857142857143
2005-01-01,8.87857142857143,9.692857142857141,1.2714285714285716,1.8571428571428572
2006-01-01,8.936363636363637,9.700000000000001,1.6090909090909091,2.0999999999999996
2007-01-01,6.90909090909091,9.318181818181818,1.4909090909090907,1.7454545454545458
2008-01-01,7.580000000000001,9.569999999999999,1.2083333333333335,1.9083333333333334
2009-01-01,6.3428571428571425,8.378571428571428,1.0,1.2937500000000002
2010-01-01,7.05,8.7,0.96,1.29
2011-01-01,6.216666666666666,8.708333333333332,0.890909090909091,1.009090909090909
2012-01-01,4.533333333333333,6.466666666666666,0.6799999999999999,0.9199999999999999
2013-01-01,3.976923076923077,5.199999999999999,0.475,0.8624999999999999
2014-01-01,3.4,4.457142857142857,0.5,0.6714285714285715
2015-01-01,2.7000000000000006,3.8166666666666664,0.2416666666666666,0.5333333333333333
