Date,High School,Middle School
1999-01-01,32.22,14.63
2000-01-01,28.141666666666666,12.53333333333333
2001-01-01,24.814285714285717,9.836363636363636
2002-01-01,25.09,9.595652173913043
2003-01-01,20.755555555555556,7.491666666666666
2004-01-01,20.608333333333334,8.2
2005-01-01,20.985714285714288,7.271428571428571
2006-01-01,20.854545454545455,7.372727272727272
2007-01-01,19.345454545454547,6.681818181818181
2008-01-01,19.61,5.949999999999999
2009-01-01,18.321428571428573,5.8375
2010-01-01,18.979999999999997,5.6
2011-01-01,17.849999999999998,5.145454545454546
2012-01-01,14.316666666666665,4.72
2013-01-01,12.73076923076923,3.7624999999999997
2014-01-01,11.385714285714284,2.9285714285714293
2015-01-01,10.299999999999999,2.858333333333333
