Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,68.75,72.11666666666666,42.563636363636355,46.42727272727273
2000-01-01,63.44583333333333,64.57916666666668,37.20740740740741,39.8851851851852
2001-01-01,59.857142857142854,59.71428571428571,30.8,32.71818181818182
2002-01-01,59.25,60.69000000000001,31.36521739130435,33.71304347826087
2003-01-01,51.34444444444445,54.06666666666667,25.50833333333333,26.775000000000006
2004-01-01,51.51666666666666,52.9,25.99285714285714,28.249999999999996
2005-01-01,52.207142857142856,52.94285714285714,24.778571428571432,26.55
2006-01-01,50.26363636363636,52.15454545454545,25.181818181818183,27.981818181818184
2007-01-01,44.73333333333333,47.68333333333334,21.708333333333332,23.666666666666668
2008-01-01,47.18,48.24,20.883333333333333,23.641666666666666
2009-01-01,43.98571428571429,45.971428571428575,20.1375,21.9
2010-01-01,44.989999999999995,46.16,19.03,22.229999999999997
2011-01-01,41.55833333333333,44.775,19.41818181818182,20.79090909090909
2012-01-01,36.1,42.449999999999996,16.779999999999998,18.880000000000003
2013-01-01,35.061538461538454,39.80769230769231,14.599999999999996,16.974999999999998
2014-01-01,30.585714285714285,35.3,12.514285714285716,13.57142857142857
2015-01-01,29.950000000000003,33.925,12.583333333333334,13.291666666666666
