Date,High School,Middle School
1999-01-01,11.450000000000001,6.009090909090909
2000-01-01,8.05,4.614814814814815
2001-01-01,6.185714285714285,4.145454545454546
2002-01-01,7.700000000000001,4.182608695652173
2003-01-01,6.933333333333334,3.2083333333333335
2004-01-01,7.933333333333333,3.650000000000001
2005-01-01,7.938461538461539,3.446153846153846
2006-01-01,8.618181818181819,4.581818181818182
2007-01-01,8.927272727272728,4.027272727272727
2008-01-01,8.77,4.05
2009-01-01,9.421428571428573,3.96875
2010-01-01,9.44,4.18
2011-01-01,9.05,3.9818181818181824
2012-01-01,7.083333333333333,3.6599999999999993
2013-01-01,7.4,2.9937500000000004
2014-01-01,6.571428571428571,2.557142857142857
2015-01-01,6.691666666666666,2.2916666666666665
