Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,54.62499999999999,53.550000000000004,55.9875,50.4625
2000-01-01,60.14545454545455,56.17391304347825,53.88260869565216,53.545454545454554
2001-01-01,59.716666666666676,54.650000000000006,52.05555555555556,53.900000000000006
2002-01-01,61.58421052631579,57.23684210526314,55.252631578947366,52.959999999999994
2003-01-01,56.65555555555556,51.355555555555554,55.13333333333334,47.087500000000006
2004-01-01,56.42,47.809999999999995,50.9375,50.128571428571426
2005-01-01,55.508333333333326,48.975,53.449999999999996,49.4
2006-01-01,55.09090909090908,48.91818181818182,52.06,45.166666666666664
2007-01-01,50.31818181818182,46.10909090909092,53.32857142857143,46.53333333333333
2008-01-01,54.1,49.29,48.633333333333326,51.275
2009-01-01,52.078571428571415,46.52857142857143,56.1,46.787499999999994
2010-01-01,48.98,44.980000000000004,43.666666666666664,44.875
2011-01-01,49.779999999999994,43.55,43.76666666666667,38.03333333333334
2012-01-01,49.06666666666666,44.53333333333334,50.87473559502621,47.637251855287566
2013-01-01,45.4,43.9,45.86666666666667,36.766666666666666
2014-01-01,45.07142857142857,47.728571428571435,43.0,47.637251855287566
2015-01-01,47.1375,46.18,50.87473559502621,47.637251855287566
