Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,0.5,6.516666666666667,0.3181818181818182,1.736363636363636
2000-01-01,0.4083333333333334,4.770833333333335,0.2518518518518519,1.918518518518518
2001-01-01,0.34285714285714286,3.0285714285714285,0.33636363636363636,1.4454545454545453
2002-01-01,0.42499999999999993,4.395,0.3391304347826088,1.5913043478260867
2003-01-01,0.5222222222222223,3.2222222222222223,0.26666666666666666,0.8749999999999999
2004-01-01,0.3916666666666666,4.708333333333333,0.15,1.0857142857142859
2005-01-01,0.5538461538461539,4.815384615384616,0.3153846153846154,1.2923076923076924
2006-01-01,0.42727272727272736,5.236363636363637,0.3727272727272727,1.7000000000000002
2007-01-01,0.390909090909091,5.127272727272726,0.2818181818181818,1.309090909090909
2008-01-01,0.5,5.74,0.225,1.6416666666666668
2009-01-01,0.49999999999999994,6.364285714285714,0.24999999999999997,1.25625
2010-01-01,0.48999999999999994,6.6800000000000015,0.17000000000000004,1.69
2011-01-01,0.625,5.95,0.2545454545454546,1.2636363636363634
2012-01-01,0.26666666666666666,5.5,0.41999999999999993,1.06
2013-01-01,0.3230769230769231,5.453846153846154,0.20625,1.1375000000000002
2014-01-01,0.32857142857142857,4.685714285714285,0.14285714285714285,1.0714285714285714
2015-01-01,0.4583333333333334,4.8500000000000005,0.15833333333333335,0.875
