Date,High School,Middle School
1999-01-01,25.600000000000005,15.963636363636367
2000-01-01,21.624999999999996,13.085185185185185
2001-01-01,16.357142857142858,10.545454545454545
2002-01-01,24.009999999999998,15.81304347826087
2003-01-01,18.188888888888886,10.241666666666665
2004-01-01,17.808333333333337,10.014285714285716
2005-01-01,19.415384615384617,11.346153846153843
2006-01-01,19.599999999999998,11.745454545454548
2007-01-01,19.581818181818182,11.009090909090908
2008-01-01,18.788888888888888,10.20909090909091
2009-01-01,18.764285714285712,8.737499999999999
2010-01-01,19.66,9.72
2011-01-01,18.64166666666667,8.654545454545454
2012-01-01,15.6,11.66
2013-01-01,16.615384615384613,7.6375
2014-01-01,13.928571428571429,6.214285714285714
2015-01-01,14.799999999999999,5.966666666666666
