Date,High School,Middle School
1999-01-01,70.45,44.57272727272726
2000-01-01,64.0125,38.57037037037038
2001-01-01,59.800000000000004,31.790909090909096
2002-01-01,60.010000000000005,32.63043478260869
2003-01-01,52.73333333333333,26.158333333333335
2004-01-01,52.23333333333334,27.178571428571427
2005-01-01,52.60714285714285,25.685714285714283
2006-01-01,51.24545454545454,26.645454545454548
2007-01-01,46.208333333333336,22.724999999999998
2008-01-01,47.72,22.316666666666666
2009-01-01,44.95,21.118750000000002
2010-01-01,45.65,20.69
2011-01-01,43.15,20.136363636363637
2012-01-01,39.28333333333333,17.839999999999996
2013-01-01,37.469230769230776,15.831249999999999
2014-01-01,32.971428571428575,13.028571428571428
2015-01-01,32.0,12.95833333333333
