Date,High School,Middle School
1999-01-01,3.533333333333333,1.0636363636363635
2000-01-01,2.6500000000000004,1.1185185185185185
2001-01-01,1.6999999999999997,0.9363636363636364
2002-01-01,2.4099999999999997,1.0347826086956524
2003-01-01,1.9444444444444444,0.5916666666666668
2004-01-01,2.608333333333333,0.6428571428571429
2005-01-01,2.7384615384615385,0.8230769230769232
2006-01-01,2.881818181818182,1.0636363636363637
2007-01-01,2.7818181818181817,0.8363636363636363
2008-01-01,3.1299999999999994,0.9249999999999999
2009-01-01,3.4642857142857144,0.7749999999999999
2010-01-01,3.69,0.9700000000000001
2011-01-01,3.366666666666667,0.8
2012-01-01,2.933333333333333,0.78
2013-01-01,2.9615384615384617,0.675
2014-01-01,2.542857142857143,0.6
2015-01-01,2.6666666666666665,0.525
