Date,High School,Middle School
1999-01-01,16.7,3.78
2000-01-01,14.00416666666667,3.3481481481481485
2001-01-01,11.885714285714286,2.5818181818181816
2002-01-01,12.139999999999999,2.4999999999999996
2003-01-01,9.077777777777778,1.7666666666666668
2004-01-01,9.391666666666666,1.9285714285714286
2005-01-01,9.3,1.5857142857142856
2006-01-01,9.309090909090909,1.8545454545454545
2007-01-01,8.118181818181817,1.6363636363636365
2008-01-01,8.59,1.575
2009-01-01,7.392857142857143,1.16875
2010-01-01,7.960000000000001,1.1300000000000001
2011-01-01,7.5,0.9727272727272727
2012-01-01,5.516666666666667,0.8399999999999999
2013-01-01,4.615384615384615,0.66875
2014-01-01,3.9571428571428577,0.5857142857142856
2015-01-01,3.2583333333333333,0.39166666666666666
