Date,"('High School', 'Female')","('High School', 'Male')","('Middle School', 'Female')","('Middle School', 'Male')"
1999-01-01,31.919999999999998,32.379999999999995,13.9,15.23
2000-01-01,27.954166666666676,28.20833333333334,12.318518518518518,12.71111111111111
2001-01-01,24.47142857142857,25.185714285714287,9.563636363636364,9.972727272727273
2002-01-01,24.195,25.925000000000004,9.626086956521739,9.41304347826087
2003-01-01,20.0,21.27777777777778,7.466666666666668,7.175
2004-01-01,20.40833333333333,20.716666666666665,8.12857142857143,8.164285714285715
2005-01-01,20.607142857142854,21.278571428571432,7.2857142857142865,7.2
2006-01-01,19.972727272727276,21.618181818181817,6.872727272727271,7.754545454545454
2007-01-01,17.445454545454545,21.06363636363636,6.927272727272728,6.354545454545455
2008-01-01,18.250000000000004,20.799999999999997,5.391666666666667,6.408333333333334
2009-01-01,17.45,19.150000000000002,5.493750000000001,6.10625
2010-01-01,17.39,20.27,5.140000000000001,6.01
2011-01-01,15.85,19.791666666666668,5.1000000000000005,5.163636363636364
2012-01-01,12.183333333333335,16.416666666666668,4.52,4.96
2013-01-01,11.176923076923078,14.207692307692309,3.4250000000000003,4.01875
2014-01-01,10.057142857142859,12.671428571428569,2.9285714285714293,2.957142857142857
2015-01-01,9.0,11.508333333333331,2.841666666666667,2.875
